Marker,Timestamp_samples,Epoch
REM1,8644,2
REM1,9770,2
REM1,11064,2
REM1,12266,2
REM1,13515,2
REM1,14833,2
S1,771984,103
S1,768841,103
S0,767183,103
S1,773621,104
S0,774376,104
S0,778353,104
S0,779529,104
S0,781786,105
S0,787616,106
S0,789833,106
S0,788749,106
S0,797714,107
S1,796732,107
S0,798593,107
REM1,3522258,470
REM1,3522695,470
REM1,3523255,470
REM1,3522818,470
REM1,3523509,470
REM1,3524002,470
REM1,3524204,470
S0,642802,86
S0,607247,81
A1,634634,85
Son1,636420,85
A1,656749,88
Son1,661091,89
S0,705534,95
A1,725025,97
Son0,727528,98
S1,733443,98
S1,755199,101
S1,752230,101
S1,762163,102
S0,760398,102
S0,758783,102
K1,765539,103
K1,716194,96
S1,748322,100
S1,793034,106
S1,803187,108
S1,804248,108
S1,807540,108
S0,806349,108
S1,811635,109
S1,822351,110
S1,824720,110
K0,817019,109
S1,826435,111
S1,825477,111
S1,832730,112
S1,836577,112
S1,837946,112
S1,842671,113
S0,844566,113
S0,846090,113
K1,840517,113
S1,847286,113
K0,854556,114
S1,853799,114
S1,849511,114
S0,860871,115
S0,862518,116
S0,867468,116
S1,866571,116
S0,863963,116
K0,865281,116
S1,865559,116
S1,870810,117
K0,871170,117
S0,871422,117
S0,872602,117
S0,876273,117
S0,874096,117
S0,877625,118
S1,879785,118
K0,878989,118
K1,889566,119
K0,892581,120
K1,897796,120
S1,897966,120
S0,906588,121
K1,901433,121
S0,901626,121
S0,912732,122
S1,907960,122
K1,910778,122
S0,911033,122
S0,909282,122
S1,919231,123
S0,917715,123
S0,915696,123
K1,922711,124
S0,923549,124
S1,928121,124
K0,931111,125
S1,931390,125
S1,929951,124
S0,932534,125
S0,942074,126
K1,939627,126
S1,944022,126
K1,943783,126
K1,949170,127
S0,949377,127
S0,946836,127
S0,948657,127
K1,950449,127
S0,950612,127
S0,945331,127
S0,953878,128
K1,956032,128
K1,957030,128
S0,957523,128
K0,961070,129
K0,963780,129
S0,967046,129
S0,969671,130
K0,969367,130
S0,967929,130
K0,972217,130
S1,975663,131
K1,980439,131
S1,980683,131
S0,981490,131
S0,977720,131
S0,978635,131
S0,985392,132
S0,986968,132
S0,984041,132
S1,989565,132
K1,989238,132
K0,988049,132
K1,986465,132
K0,987659,132
K0,990722,133
S0,990846,133
S0,994605,133
S0,995025,133
K1,1001191,134
S0,1001319,134
S1,1000177,134
K1,1002924,134
K1,1004539,134
K1,998917,134
S0,999355,134
S0,1003636,134
S0,1003072,134
S0,1010736,135
S0,1006284,135
K1,1007361,135
K1,1007778,135
K0,1009772,135
S0,1009994,135
K1,1017175,136
S0,1017374,136
S0,1018962,136
S0,1013883,136
K1,1021123,137
K1,1021863,137
S0,1026625,137
S0,1025450,137
S0,1021482,137
S0,1036254,139
S0,1040415,139
S0,1041362,139
S0,1037513,139
K1,1047460,140
K1,1046065,140
S0,1056127,141
S0,1052416,141
K1,1057232,141
S0,1057556,142
K1,1064271,142
S0,1072027,143
S1,1071174,143
K1,1069300,143
K0,1069782,143
S0,1067068,143
S0,1076088,144
S0,1073024,144
K1,1085208,145
K0,1086476,145
S0,1086690,145
S0,1092598,146
S0,1100259,147
S1,1098670,147
S1,1101910,147
K1,1101695,147
S0,1102539,148
S1,1103158,148
K0,1104052,148
S0,1103776,148
GS1,770446,103
GS1,786271,105
S1,799773,107
GS1,813324,109
S1,823176,110
S0,854706,114
GS1,882456,118
GS1,921674,123
S0,952447,127
S0,961290,129
K0,962182,129
S0,965131,129
S0,972442,130
GS1,997673,134
S0,1004566,134
GS1,1039258,139
K1,1085589,145
GS1,1097840,147
S0,1108175,148
S0,1109606,148
K0,1113527,149
S1,1111063,149
S0,1122354,150
K1,1122120,150
GS1,1120198,150
GS1,1117569,150
K0,1128661,151
K1,1132153,151
S0,1128947,151
S0,1130110,151
GS1,1129321,151
GS1,1127703,151
K1,1138321,152
S0,1135089,152
K1,1133705,152
S0,1135998,152
GS1,1142314,153
S1,1146828,153
K1,1146485,153
K1,1141848,153
K0,1148979,154
K1,1155252,155
S0,1156082,155
S0,1159497,155
K1,1162517,156
S0,1165331,156
K1,1166909,156
S0,1171762,157
K0,1178083,158
S0,1185427,159
S0,1187711,159
S1,1186374,159
S0,1192258,159
S0,1194277,160
S0,1199267,160
S0,1209076,162
S0,1212991,162
S0,1214430,162
S0,1210224,162
K0,1218274,163
K1,1227006,164
K1,1228235,164
S0,1222861,164
S0,1232725,165
S0,1242266,166
S0,1238521,166
GS1,1247626,167
S0,1254573,168
S0,1253721,168
K1,1266599,169
S0,1262030,169
S0,1263504,169
S0,1274337,170
K0,1268168,170
K1,1270543,170
S0,1275402,171
S0,1281951,171
S0,1283912,172
S0,1287493,172
S0,1297165,173
K0,1297001,173
S1,1299307,174
S1,1308875,175
S0,1309738,175
S0,1315541,176
S1,1321233,177
S0,1340332,179
S0,1339221,179
S0,1341479,179
S0,1345218,180
S0,1342902,180
S0,1353388,181
S0,1356315,181
S0,1358352,182
S0,1385774,185
K0,1380242,185
S0,1391271,186
S0,1394536,186
S0,1395422,187
K1,1400985,187
K1,1402078,187
S0,1408732,188
S0,1412947,189
S0,1417502,190
K1,1422841,190
S0,1427408,191
S1,1429634,191
S0,1433280,192
S0,1448851,194
S0,1454303,194
K1,1447767,194
S0,1480259,198
S0,1487641,199
S0,1488829,199
S0,1485687,199
S0,1497633,200
S0,1502235,201
K0,1506679,201
S1,1504311,201
S1,1513093,202
S1,1510681,202
S0,1517105,203
S0,1515980,203
S0,1529227,204
S0,1528217,204
S1,1530839,205
S1,1536113,205
Soff1,1544965,206
S1,1589028,212
Son1,1576639,211
S0,1589889,212
S1,1590959,213
K1,1596573,213
S1,1603207,214
S0,1609328,215
S0,1604836,214
A1,1611467,215
Son1,1618187,216
S0,1625769,217
K1,1630247,218
S0,1630396,218
GS1,1629312,218
GS1,1631659,218
S0,1634790,218
K1,1635174,219
S0,1638325,219
REM1,1657968,222
REM1,1665790,223
REM1,1698842,227
REM1,1708426,228
REM1,1709277,228
REM1,1709868,228
REM0,1710133,229
REM0,1715637,229
REM1,1716758,229
REM1,1716847,229
REM1,1717550,230
REM1,1718077,230
REM1,1719065,230
REM1,1721102,230
REM1,1721478,230
REM1,1722977,230
REM1,1722549,230
REM1,1723469,230
REM1,1726161,231
REM1,1733938,232
REM1,1732752,232
REM1,1733550,232
REM1,1733114,232
REM1,1736735,232
REM1,1736296,232
REM1,1735938,232
REM1,1752224,234
REM1,1791476,239
REM1,1806379,241
REM0,1806694,241
REM1,1807042,241
REM1,1817120,243
REM1,1816274,243
REM1,1815988,243
REM1,1819330,243
REM1,1821770,243
REM1,1815025,243
REM1,1814807,242
REM1,1817873,243
REM1,1823394,244
REM1,1824823,244
REM1,1826332,244
REM1,1822625,244
REM0,1826113,244
REM1,1828140,244
REM1,1828598,244
REM1,1857288,248
REM1,1857510,248
REM1,1857825,248
REM1,1858330,248
REM1,1860447,249
REM1,1862319,249
REM1,1863002,249
REM1,1863381,249
REM1,1883368,252
REM1,1909044,255
REM1,1930477,258
REM1,1945904,260
REM1,1947462,260
REM1,1948308,260
REM1,1947676,260
REM1,1947973,260
REM1,1954264,261
REM1,1957572,262
REM1,1958956,262
REM1,2021129,270
REM1,2022167,270
REM1,2023757,270
REM1,2045770,273
REM1,2064892,276
GS1,2127471,284
S1,2123462,284
S1,2125541,284
S0,2127162,284
S1,2134069,285
S1,2136307,285
S0,2146629,287
S0,2157822,288
S0,2158950,288
S1,2162238,289
S1,2166080,289
K0,2165786,289
S1,2174522,290
S0,2180204,291
S1,2176278,291
S1,2186103,292
S1,2184287,292
S1,2192286,293
S0,2193211,293
S1,2196394,293
K0,2196233,293
S1,2195405,293
S1,2200149,294
S1,2203705,294
GS1,2198386,294
GS1,2206817,295
GS1,2213278,296
GS1,2216269,296
K0,2216018,296
S1,2223029,297
GS1,2228943,298
S1,2234168,298
GS1,2241977,299
S0,2240806,299
S0,2237303,299
GS1,2239258,299
K1,2241761,299
S0,2244455,300
S0,2248547,300
S0,2254516,301
S1,2250893,301
K1,2250480,301
K1,2257093,301
S0,2263168,302
S1,2261170,302
S1,2259773,302
GS1,2264451,302
K1,2265692,303
S1,2265830,303
S1,2267235,303
S0,2268628,303
GS1,2271538,303
S1,2274214,304
S1,2275459,304
K1,2275277,304
S1,2286064,305
K0,2284737,305
GS1,2287336,305
S0,2284350,305
S1,2290224,306
S0,2289130,306
S1,2291664,306
A1,2293538,306
Son1,2302238,307
GS1,2308459,308
S1,2311650,309
S1,2312970,309
S1,2316205,309
S1,2318829,310
S1,2329799,311
S1,2330329,311
GS1,2326667,311
S0,2332520,312
S0,2333515,312
K0,2337012,312
S1,2339216,312
S0,2342896,313
S0,2341151,313
S0,2346861,313
S1,2349396,314
K1,2359080,315
GS1,2360449,315
S0,2361827,315
GS1,2369251,316
GS1,2371681,317
S0,2376266,317
GS1,2371273,317
S0,2370998,317
K1,2372005,317
S1,2377780,318
S1,2379116,318
S1,2381166,318
S0,2383978,318
S1,2391857,319
S1,2390000,319
S0,2393932,320
S0,2392713,320
S1,2395061,320
GS1,2396223,320
K1,2406702,321
GS1,2403228,321
S0,2408071,322
K0,2411406,322
GS1,2412882,322
S0,2413078,322
S0,2414437,322
S1,2411641,322
S0,2417063,323
S0,2419605,323
GS1,2427159,324
GS1,2422652,324
K0,2428285,324
K0,2423920,324
S0,2424291,324
S1,2426235,324
GS1,2430925,325
GS1,2433734,325
S1,2435367,325
S0,2432261,325
K1,2436964,325
S0,2443642,326
K0,2451254,327
S1,2446578,327
S0,2449204,327
A1,2437403,325
Son1,2440198,326
GS1,2459240,328
GS1,2455775,328
S0,2466345,329
S0,2461316,329
S0,2474340,330
S0,2469063,330
K0,2476053,331
K0,2476660,331
S0,2479139,331
S0,2485310,332
GS1,2489348,332
S0,2491090,333
GS1,2494060,333
S0,2494226,333
S0,2499465,334
GS1,2498466,334
K1,2499849,334
S0,2503699,334
K1,2506929,335
S1,2508300,335
S0,2505929,335
S0,2512329,335
K0,2525584,337
S0,2523640,337
K1,2539758,339
K1,2538205,339
K1,2547795,340
S0,2545400,340
K1,2554348,341
S0,2564129,342
K1,2566968,343
K1,2568667,343
S0,2565806,343
GS1,2573086,344
S0,2575657,344
K1,2582716,345
K1,2583203,345
K1,2591168,346
K0,2589021,346
S0,2594152,346
K1,2604680,348
S0,2605387,348
K1,2607299,348
S0,2612029,349
S0,2614071,349
S0,2631663,351
S0,2635889,352
S0,2644213,353
S0,2645438,353
K1,2652578,354
K0,2673107,357
S0,2682344,358
S0,2691794,359
S0,2695175,360
K1,2701223,361
S0,2713275,362
K0,2729153,364
S0,2742452,366
K1,2738837,366
K1,2736738,365
S0,2751350,367
S0,2752570,368
GS1,2755041,368
S0,2757045,368
S0,2761123,369
S0,2767081,369
GS1,2763283,369
S0,2768394,370
S0,2772358,370
GS1,2774437,370
K1,2776672,371
K0,2789421,372
S1,2793099,373
K1,2790480,373
K1,2790741,373
K1,2799592,374
S0,2801608,374
S0,2802904,374
K1,2803911,374
S0,2811563,375
K1,2805834,375
S0,2816257,376
Soff1,2818173,376
K1,2847265,380
GS1,2855777,381
K1,2857075,381
S1,2857760,382
S0,2858866,382
S0,2861132,382
K1,2864788,382
A1,2865011,383
Son1,2866191,383
GS1,2866525,383
S1,2869445,383
S0,2875443,384
K0,2874911,384
S1,2878760,384
S1,2882091,385
K0,2882913,385
S0,2883537,385
S0,2888313,386
S1,2890134,386
GS1,2894193,386
S1,2897141,387
S1,2898308,387
S0,2900790,387
K1,2900582,387
GS1,2914477,389
GS1,2910172,389
S1,2927775,391
A1,2932222,391
Son1,2936647,392
Soff1,2940095,393
Son1,2954779,394
S1,2960048,395
S1,2964439,396
K1,2964857,396
S1,2965668,396
S1,2968930,396
S1,2969666,396
S1,2973509,397
S1,2974431,397
S1,2977023,397
K1,2978633,398
K1,2972721,397
S0,2984753,398
GS1,2987240,399
GS1,2990291,399
K0,2990472,399
GS1,2991842,399
